7.8025 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.4904 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020691A06C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020691A06BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020691A06A30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020691D951F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.4905 	EXP 	window1: mouseVisible = True
8.4906 	EXP 	window1: backgroundImage = ''
8.4906 	EXP 	window1: backgroundFit = 'none'
8.4921 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.4922 	EXP 	window1: recordFrameIntervals = False
8.5593 	EXP 	window1: recordFrameIntervals = True
8.6366 	EXP 	Screen (0) actual frame rate measured at 142.58Hz
8.6366 	EXP 	window1: recordFrameIntervals = False
8.6367 	EXP 	window1: mouseVisible = False
10.6239 	EXP 	clock: status = STARTED
10.6243 	EXP 	window1: mouseVisible = True
10.7724 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.7725 	EXP 	window1: mouseVisible = True
