12.5504 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.2242 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022B416E4CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022B416E4C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022B416E4AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022B41A74490>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2243 	EXP 	window1: mouseVisible = True
13.2243 	EXP 	window1: backgroundImage = ''
13.2243 	EXP 	window1: backgroundFit = 'none'
13.2258 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.2258 	EXP 	window1: recordFrameIntervals = False
13.2928 	EXP 	window1: recordFrameIntervals = True
13.3709 	WARNING 	t of last frame was 8.35ms (=1/119)
13.3713 	EXP 	Screen (0) actual frame rate measured at 140.70Hz
13.3713 	EXP 	window1: recordFrameIntervals = False
13.3715 	EXP 	window1: mouseVisible = False
15.2652 	EXP 	clock: status = STARTED
15.2656 	EXP 	window1: mouseVisible = True
15.4052 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.4053 	EXP 	window1: mouseVisible = True
15.4167 	EXP 	Created clock = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='clock', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.9, 0.9]), texRes=128, units='height', win=Window(...))
15.4168 	EXP 	window1: mouseVisible = True
15.8103 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='images/00.png', interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.9, 0.9]), texRes=128, units='height', win=Window(...))
15.8105 	EXP 	window1: mouseVisible = True
15.8130 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
16.0577 	EXP 	window1: mouseVisible = True
16.0579 	EXP 	window1: mouseVisible = True
16.0584 	EXP 	window1: mouseVisible = True
16.0589 	EXP 	window1: mouseVisible = True
16.0656 	EXP 	window1: mouseVisible = True
